model,dataset,text_id,magnitude,cosine_similarity
gpt2,g1s,0,167.87367,0.9661492
gpt2,g1s,1,178.51137,0.9784089
gpt2,g1s,2,176.41275,0.98565614
gpt2,g1s,3,152.2235,0.98023826
gpt2,g1s,4,167.87367,0.9661492
gpt2,g1s,5,172.57544,0.97356266
gpt2,g1s,6,181.19382,0.9730439
gpt2,g1s,7,178.10075,0.9663426
gpt2,g1s,8,180.12425,0.9656549
gpt2,g1s,9,178.51137,0.9784089
gpt2,g1s,10,180.12425,0.9656549
gpt2,g1s,11,178.10075,0.9663426
gpt2,g1s,12,176.41275,0.98565614
gpt2,g1s,13,178.51137,0.9784089
gpt2,g1s,14,181.19382,0.9730439
gpt2,g1s,15,176.53627,0.9677882
gpt2,g1s,16,152.2235,0.98023826
gpt2,g1s,17,180.12425,0.9656549
gpt2,g1s,18,188.40047,0.96452343
gpt2,g1s,19,181.4072,0.9750975
gpt2,g1s,20,177.2629,0.9666664
gpt2,g1s,21,196.61942,0.9780698
gpt2,g1s,22,196.83766,0.9796793
gpt2,g1s,23,180.00156,0.97360307
gpt2,g1s,24,184.06192,0.97799265
gpt2,g1s,25,168.03273,0.97821885
gpt2,g1s,26,193.79437,0.6829187
gpt2,g1s,27,190.51833,0.9652603
gpt2,g1s,28,147.1326,0.78234506
gpt2,g1s,29,181.07433,0.98049223
gpt2,g1s,30,177.95958,0.9691989
gpt2,g1s,31,194.93117,0.9863427
gpt2,g1s,32,184.34502,0.9833439
gpt2,g1s,33,147.1326,0.78234506
gpt2,g1s,34,181.07433,0.98049223
gpt2,g1s,35,173.55583,0.9594917
gpt2,g1s,36,181.02771,0.9747073
gpt2,g1s,37,184.46179,0.973438
gpt2,g1s,38,200.50276,0.96140647
gpt2,g1s,39,188.40047,0.96452343
gpt2,g1s,40,196.61942,0.9780698
gpt2,g1s,41,157.95581,0.97384596
gpt2,g1s,42,181.02771,0.9747073
gpt2,g1s,43,180.00156,0.97360307
gpt2,g1s,44,194.93117,0.9863427
gpt2,g1s,45,184.06192,0.97799265
gpt2,g1s,46,181.4072,0.9750975
gpt2,g1s,47,157.95581,0.97384596
gpt2,g1s,48,177.95958,0.9691989
gpt2,g1s,49,177.95958,0.9691989
gpt2,g1s,50,202.96619,0.9792493
gpt2,g1s,51,196.83766,0.9796793
gpt2,g1s,52,177.19531,0.97494066
gpt2,g1s,53,181.02771,0.9747073
gpt2,g1s,54,173.60532,0.98067886
gpt2,g1s,55,200.9183,0.9781662
gpt2,g1s,56,200.9183,0.9781662
gpt2,g1s,57,191.92236,0.9709741
gpt2,g1s,58,184.46179,0.973438
gpt2,g1s,59,193.79437,0.6829187
gpt2,g1s,60,191.92236,0.9709741
gpt2,g1s,61,177.2629,0.9666664
gpt2,g1s,62,168.03273,0.97821885
gpt2,g1s,63,181.21793,0.9815974
gpt2,g1s,64,177.19531,0.97494066
gpt2,g1s,65,184.34502,0.9833439
gpt2,g1s,66,200.50276,0.96140647
gpt2,g1s,67,202.96619,0.9792493
gpt2,g1s,68,174.502,0.9730751
gpt2,g1s,69,136.02824,0.62563366
gpt2,g1s,70,173.55583,0.9594917
gpt2,g1s,71,191.92236,0.9709741
gpt2,g1s,72,162.8695,0.9766545
gpt2,g1s,73,194.56241,0.9585897
gpt2,g1s,74,171.67918,0.8622066
gpt2,g1s,75,194.86626,0.98178756
gpt2,g1s,76,174.42241,0.96983236
gpt2,g1s,77,157.31026,0.9686193
gpt2,g1s,78,194.86626,0.98178756
gpt2,g1s,79,181.29001,0.9763871
gpt2,g1s,80,180.41289,0.97819597
gpt2,g1s,81,180.85365,0.97190964
gpt2,g1s,82,164.82393,0.9718362
gpt2,g1s,83,188.45995,0.9776253
gpt2,g1s,84,180.41289,0.97819597
gpt2,g1s,85,181.93053,0.97912353
gpt2,g1s,86,179.82085,0.9732078
gpt2,g1s,87,165.181,0.96793836
gpt2,g1s,88,157.31026,0.9686193
gpt2,g1s,89,173.20543,0.96816486
gpt2,g1s,90,180.60861,0.9769336
gpt2,g1s,91,190.66606,0.98157334
gpt2,g1s,92,180.85365,0.97190964
gpt2,g1s,93,181.93053,0.97912353
gpt2,g1s,94,180.60861,0.9769336
gpt2,g1s,95,188.75693,0.9839107
gpt2,g1s,96,188.75693,0.9839107
gpt2,g1s,97,193.40712,0.98586357
gpt2,g1s,98,207.52716,0.6686733
gpt2,g1s,99,154.48984,0.958333
gpt2,g1s,100,161.86095,0.81005996
gpt2,g1s,101,180.41289,0.97819597
gpt2,g1s,102,208.78711,0.94640386
gpt2,g1s,103,161.86095,0.81005996
gpt2,g1s,104,191.22385,0.9785292
gpt2,g1s,105,221.59833,0.9814371
gpt2,g1s,106,154.48984,0.958333
gpt2,g1s,107,183.30621,0.9747447
gpt2,g1s,108,179.82085,0.9732078
gpt2,g1s,109,191.22385,0.9785292
gpt2,g1s,110,188.45995,0.9776253
gpt2,g1s,111,157.31026,0.9686193
gpt2,g1s,112,175.17415,0.9689196
gpt2,g1s,113,200.61171,0.9815179
gpt2,g1s,114,171.67918,0.8622066
gpt2,g1s,115,173.20543,0.96816486
gpt2,g1s,116,174.42241,0.96983236
gpt2,g1s,117,171.67918,0.8622066
gpt2,g1s,118,177.7085,0.97046244
gpt2,g1s,119,174.42241,0.96983236
gpt2,g1s,120,162.8695,0.9766545
gpt2,g1s,121,207.52716,0.6686733
gpt2,g1s,122,188.45995,0.9776253
gpt2,g1s,123,192.4458,0.97601944
gpt2,g1s,124,183.30621,0.9747447
gpt2,g1s,125,175.97638,0.9735306
gpt2,g1s,126,194.56241,0.9585897
gpt2,g1s,127,221.59833,0.9814371
gpt2,g1s,128,188.23727,0.9829429
gpt2,g1s,129,200.11598,0.97959447
gpt2,g1s,130,164.82393,0.9718362
gpt2,g1s,131,188.23727,0.9829429
gpt2,g1s,132,175.97638,0.9735306
gpt2,g1s,133,221.59833,0.9814371
gpt2,g1s,134,175.17415,0.9689196
gpt2,g1s,135,178.49141,0.9737486
gpt2,g1s,136,208.78711,0.94640386
gpt2,g1s,137,179.82085,0.9732078
gpt2,g1s,138,179.07274,0.97466624
gpt2,g1s,139,200.61171,0.9815179
gpt2,g1s,140,190.66606,0.98157334
gpt2,g1s,141,188.97151,0.97597134
gpt2,g1s,142,193.40712,0.98586357
gpt2,g1s,143,186.07469,0.976899
gpt2,g1s,144,181.29001,0.9763871
gpt2,g1s,145,194.86626,0.98178756
gpt2,g1s,146,179.07274,0.97466624
gpt2,g1s,147,175.50632,0.977784
gpt2,g1s,148,200.11598,0.97959447
gpt2,g1s,149,206.45909,0.98351735
gpt2,g1m,0,172.06396,0.9306128
gpt2,g1m,1,187.80235,0.9774148
gpt2,g1m,2,180.37247,0.97359776
gpt2,g1m,3,196.27325,0.9737198
gpt2,g1m,4,178.00865,0.97673035
gpt2,g1m,5,198.44888,0.9736789
gpt2,g1m,6,190.20422,0.97454834
gpt2,g1m,7,199.73962,0.9814458
gpt2,g1m,8,189.07082,0.8034978
gpt2,g1m,9,187.38692,0.97663397
gpt2,g1m,10,187.38692,0.97663397
gpt2,g1m,11,189.66444,0.9801184
gpt2,g1m,12,201.86305,0.98548275
gpt2,g1m,13,197.2428,0.98135906
gpt2,g1m,14,193.0097,0.9785446
gpt2,g1m,15,186.73595,0.9724419
gpt2,g1m,16,194.75401,0.98032135
gpt2,g1m,17,194.75401,0.98032135
gpt2,g1m,18,168.476,0.96513945
gpt2,g1m,19,178.38283,0.9788342
